sentence1Text,sentence2Text
"After weeks of speculation about what would be introduced at Macworld , Apple Inc. took the wraps off of updated iTunes and iLife software and unveiled a 17-inch MacBook Pro on Tuesday .","Apple on Tuesday launched a refresh of the 17-inch MacBook Pro , giving the company 's largest laptop an eight-hour battery life , a faster Intel ( NSDQ : INTC ) processor , and better graphics capabilities ."
"A 6 . 1 - magnitude earthquake which hit the Indonesian province of Aceh on Tuesday killed a child , injured dozens and destroyed buildings , sparking panic in a region devastated by the quake - triggered tsunami of 2004 .","A strong 6 . 1 - magnitude earthquake struck Indonesia's northwestern province of Aceh today , causing buildings to collapse and injuring at least 50 people ."
"A strong earthquake struck Indonesia's Aceh province on Tuesday , killing at least one person and leaving two others missing .","Rescue operations are under way after a 6 . 1 magnitude earthquake hit Indonesia's Aceh province , flattening houses and causing landslides ."
"Industry analysts contacted by eWEEK generally say they believe that Hewlett-Packard 's forthcoming $ 13.9 billion acquisition of Electronic Data Systems ? announced officially on May 13 is a good move for both companies , although there will be the usual integration snafus over vendor neutrality issues , business lines , culture shock and layoffs .",Industry sources have confirmed to eWEEK that Hewlett-Packard will acquire Electronic Data Systems for about $ 13 billion .
"Fred LaRue , known as the ""bagman"" because he delivered payments to ensure the silence of participants in the Watergate break - in , was found dead in a hotel room in Biloxi , Mississippi .","Frederick C . LaRue , a top Nixon campaign official who passed money from a secret White House fund to buy the silence of the Watergate burglars , died Saturday at a hotel in Biloxi , Miss ."
A Perth man has survived after spending up to two nights in an ice cave on New Zealand 's Mt Cook after seeing his brother fall to his death from the country 's highest peak .,An Australian climber who survived two nights stuck on Mount Cook after seeing his brother die also narrowly escaped being buried alive himself .
"After spraining his knee last week at Chicago , Bush has been placed on the injured reserve list ending his season .","The New Orleans Saints placed running back Reggie Bush on Injured Reserve Wednesday , ending the former first-round picks season two games short of the year 's finale with a sprained medial collateral ligament in his left knee ."
"After weeks of speculation about what would be introduced at Macworld , Apple Inc. took the wraps off of updated iTunes and iLife software and unveiled a 17-inch MacBook Pro on Tuesday .","With a 17-inch MacBook Pro update unveiled at today 's Macworld 2009 keynote , Apple has finally brought an entire line of Mac portables into view ."
"A judge in Fulton County , Ga . , sentenced Brian Nichols Saturday to multiple life prison sentences for his deadly 2005 rampage at Fulton Courthouse .",A judge on Saturday sentenced the man who killed four people in a brazen courthouse escape to multiple life sentences with no chance of parole after a deadlocked jury failed to return a death sentence .
"Lindsay Lohan has checked into rehab in Newport Beach , Calif . , and will remain there for the time being , pending an investigation of the facility she chose .","Lindsay Lohan has checked into a rehab facility to comply with her sentence in a misdemeanor driving case , but her arrival there was not without drama ."
"A strong 5.6 -magnitude earthquake jolted part of Qeshm island in the Gulf off Iran 's southern Hormozgan province at 17:06 pm ( 1336 GMT ) on Sunday , state television reported , cited by AFP .","Earlier on Sunday a 5.6 quake jolted the island , some 930 miles south of the capital , Tehran ."
"The Interior Department yesterday finalized rules changing the way it administers the Endangered Species Act , enabling other government agencies to decide on their own whether a project would harm an imperiled species without an independent scientific review .","Using the Christmas season for cover , the Interior Department on Thursday issued `` revised '' regulations designed to shield federal projects from review under the Endangered Species Act ."
"The Philadelphia 76ers fired coach Maurice Cheeks on Saturday , one day after the team continued its slide with a season-worst offensive effort , dpa reported .","Today , Maurice Cheeks became the fifth coach fired within the first quarter of the season ."
Police say a Perth mountain climber who watched his brother fall over the edge of New Zealand 's highest mountain is devastated .,A Perth man has survived after spending up to two nights in an ice cave on New Zealand 's Mt Cook after seeing his brother fall to his death from the country 's highest peak .
AMD to Acquire Server Innovator SeaMicro,Advanced Micro Devices to acquire microserver vendor SeaMicro for $334 million .
"Seacom's business customers , including commercial Internet Service Providers , have had their services restored via alternative routes , Seacom announced today",Subsea cable operator Seacom announced on Twitter today ( 14 October 2011 ) that they have restored all their business customers on alternate routes following an outage expected to extend into next week .
"After weeks of speculation about what would be introduced at Macworld , Apple Inc. took the wraps off of updated iTunes and iLife software and unveiled a 17-inch MacBook Pro on Tuesday .",Apple 's first hardware announcement at Macworld today introduced the 17 '' MacBook Pro .
"T - Mobile has announced that it will be carrying the keyboard touting Q10 , with pre - registration starting on April 29th .",T - Mobile Confirms it Will Carry BlackBerry Q10
AN AUSTRALIAN climber who survived two nights stuck on Mount Cook after seeing his brother die narrowly escaped being buried alive .,A Perth man has survived after spending up to two nights in an ice cave on New Zealand 's Mt Cook after seeing his brother fall to his death from the country 's highest peak .
A Bloomington man has been charged with third-degree murder in a hit and run that killed a woman at the Bloomington Sam 's Club store .,The Hennepin County Attorney filed criminal charges Friday against the man who they say hit and killed a woman walking out of a store .
"Unlike on Nov. 12 , when sobs filled the air as Peterson was found guilty of murdering his wife and their unborn child , there was an almost surreal stillness in the courtroom while the death recommendation was announced .","A jury found Scott Peterson guilty Friday of killing his pregnant wife , Laci , and their unborn child in the saga of suburban adultery and betrayal that transfixed much of the nation for nearly two years ."
"On November 12 , a jury in Redwood City , California , convicted Scott Peterson of first-degree murder in the death of his wife , 23-year-old Laci , and second-degree murder in the death of his 8-month-old unborn son , whom the couple were planning to name Conner .","A jury found Scott Peterson guilty Friday of killing his pregnant wife , Laci , and their unborn child in the saga of suburban adultery and betrayal that transfixed much of the nation for nearly two years ."
"On July 13 , Obama announced that he was nominating Regina M . Benjamin , MD , a family physician from southern Alabama , to be surgeon general .","Today , President Barack Obama announced his intent to nominate Regina M . Benjamin as Surgeon General , Department of Health and Human Services ."
"Bettie Page , the 1950s pin-up model who helped set the stage for the 1960s sexual revolution , has died .","Famous 1950s pin up star Betty Page has died in Los Angeles , aged 85 ."
"Dan Patrick reported on his show on AM 570 that the Boston Red Sox have made first baseman Mark Teixeira an eight - year , $200 million offer .","2 : 16pm : Take it with a grain of salt , but we have a report of a report that the Red Sox offered Mark Teixeira an eight - year , $200MM deal ."
Chargers ' Jackson arrested on suspicion of DUI,Jackson was arrested on the DUI charge early Tuesday morning by the California Highway Patrol .
"AMD ( NYSE : AMD ) today announced it has signed a definitive agreement to acquire SeaMicro , a pioneer in energy - efficient , high - bandwidth microservers , for approximately $334 million , of which approximately $281 million will be paid in cash .","Advanced Micro Devices on Wednesday announced a deal to acquire startup SeaMicro , a maker of microservers and data center fabric technology , for $334 million ."
"With young British actor Matt Smith stepping into Doctor Who 's title role , Wired.com takes a look back at the 10 actors who have previously portrayed sci-fi TV 's most enduring hero .","When Matt Smith stepped into Doctor Who 's title role as the 11th Doctor this weekend , he went from British character actor to potential entertainment legend ."
Doctor Who boss Steven Moffat has revealed that Peter Capaldi was the only name considered to take over from Matt Smith .,"Doctor Who has finally selected its 12th doctor : Peter Capaldi is officially set to replace exiting star Matt Smith as the TARDIS leader , producer Steven Moffat announced on the live BBC special Doctor Who Live : The Next Doctor Sunday ."
"Rumored to be the front runner earlier in the week , Entertainment Weekly has now confirmed that Chris Weitz will direct the sequel to Twilight , New Moon , replacing Catherine Hardwicke .",Chris Weitz will take on the sequel to `` Twilight '' .
"While Microsoft claims that it has received reports of attacks aimed at Internet Explorer 8 and 9 , it appears that the security flaw affects all the other versions of the browser .","Microsoft has just released a new security update for Internet Explorer in order to patch a flaw affecting all versions of the company ’ s in - house browser , including IE11 on Windows 8 . 1 RTM ."
The jury convicted the 32-year-old Peterson on Nov. 12 of first-degree murder for killing his wife and second-degree murder for the death of his unborn son .,"A jury found Scott Peterson guilty Friday of killing his pregnant wife , Laci , and their unborn child in the saga of suburban adultery and betrayal that transfixed much of the nation for nearly two years ."
Authorities have released the name of a 66-year-old woman who was walking outside the Sam 's Club in Bloomington when she was struck and killed by a motorist .,The Hennepin County Attorney filed criminal charges Friday against the man who they say hit and killed a woman walking out of a store .
The Hennepin County Attorney filed criminal charges Friday against the man who they say hit and killed a woman walking out of a store .,Authorities have released the name of a 66-year-old woman who was walking outside the Sam 's Club in Bloomington when she was struck and killed by a motorist .
Advanced Micro Devices will acquire server vendor SeaMicro in an attempt to make a run at Intel in the microserver market .,"Advanced Micro Devices announced Wednesday it is buying low - power server vendor SeaMicro , a surprise move that puts AMD in the systems business and disrupts Intel by acquiring one of its close partners ."
Summit Entertainment announced today that filmmaker Chris Weitz has been hired to direct the second film in the studio 's TWILIGHT film franchise .,"The Golden Compass director Chris Weitz is expected to direct New Moon , the sequel to the hugely successful film Twilight ."
"Microsoft today issued an emergency update to plug a critical security hole present in all versions of its Internet Explorer Web browser , a flaw that hackers have been leveraging to steal data from millions of Windows users .","Microsoft released a critical security patch on Wednesday to plug vulnerabilities in Internet Explorer , a move that comes amid malicious attackers taking advantage of the security flaws ."
"Chris Weitz , who directed `` The Golden Compass , '' is negotiating to direct the cinematic sequel to `` Twilight , '' industry sources say .","Rumored to be the front runner earlier in the week , Entertainment Weekly has now confirmed that Chris Weitz will direct the sequel to Twilight , New Moon , replacing Catherine Hardwicke ."
"Jamal Williams , the defensive tackle for the San Diego Chargers was arrested on suspicion of drunk driving early morning on Sunday , February 1 , 2009 .",Charger Jamal Williams arrested on suspicion of DUI
A petrol bomb hurled at an Athens branch of the Marfin Investment Bank killed two women and a man who were caught in the resulting inferno .,"Three people , one of them a pregnant woman , were killed when Greeks protesting against government austerity measures threw petrol bombs at a bank in Athens on Wednesday ."
"Dozens injured , child dead as 6 . 1 - magnitude earthquake hits Indonesia's Aceh","A strong 6 . 1 - magnitude earthquake struck Indonesia's northwestern province of Aceh today , causing buildings to collapse and injuring at least 50 people ."
Jury shown horrific moment innocent mother is shot dead shielding her child when she's caught up in gang attack as she picks up daughter from school,A shocking video released for the first time Thursday captures the moment a Brooklyn mother of 12 was killed in a gang shootout as she picked her daughter up from school .
"Maurice Cheeks was fired Saturday as coach of the Philadelphia 76ers , who are slumping at 9-14 a year after making the playoffs .","But the 76ers , while underachieving at 9-14 when Cheeks was fired Saturday morning , were not an embarassment when they went on the court , not a disjointed bunch that clearly was no longer listening to or playing for its coach ."
Doctor Who boss Steven Moffat has revealed that Peter Capaldi was the only name considered to take over from Matt Smith .,"Peter Capaldi , the bookmakers' choice by a wide margin , will take over for the retiring Matt Smith , the Doctor since 2010 ."
"Obama overturns Bush midnight rules on science , health care",Biologists Call on Obama Administration to Overturn Bush Rules that Cut Science Out of Endangered Species Legislation
"Billy King spun the 76ers' head coach revolving door again yesterday , pushing out Jim O'Brien after just one season and bringing in Maurice Cheeks , the popular former Sixers player and assistant coach , as O'Brien's replacement .","In a surprising move nearly three weeks following the end of their season , the Sixers fired Jim O'Brien on Monday after one season as coach and replaced him with Cheeks , one of the most popular players in franchise history ."
RBC Capital Markets downgraded ATI Technologies to `` sector perform '' from `` outperform '' after Advanced Micro Devices announced its intention to buy the Canadian graphics chip-maker for $ 5.4 billion on Monday .,"AMD agreed to buy Markham , Ont-based ATI for around $ 5.4 billion in cash and stock , the companies announced Monday ."
"Even as Oscar organizers on Friday unveiled Hugh Jackman as the host of their gala film awards , the prospect of a U.S. actors strike was casting a long shadow over whether Hollywood 's big show would go on as usual .","On Friday , the organization behind the Academy Awards named Australian actor Hugh Jackman as the host of February 's annual show ."
Apple is certainly making WWDC a hardware conference this year - - it just unveiled a refresh of the existing MacBook Pro running Intel's newer Ivy Bridge processors on the San Francisco gathering's opening day .,Apple has unveiled the next generation of MacBook Pro at the WWDC Keynote in San Francisco .
A Waitrose store was reduced to ruins after a blaze being treated by police as `` potentially suspicious '' .,Police are treating a fire which has destroyed a Waitrose supermarket in Banstead in Surrey as `` potentially suspicious '' .
"Microsoft has just released a new security update for Internet Explorer in order to patch a flaw affecting all versions of the company ’ s in - house browser , including IE11 on Windows 8 . 1 RTM .","The company has released a ""Fix - it"" patch , ""CVE - 2013 - 3893 MSHTML Shim Workaround"" to plug this security hole in all currently supported versions of IE ."
The Philadelphia 76ers fired Coach Maurice Cheeks Saturday morning after a disappointing 9-14 start to the 2008-09 season .,"But the 76ers , while underachieving at 9-14 when Cheeks was fired Saturday morning , were not an embarassment when they went on the court , not a disjointed bunch that clearly was no longer listening to or playing for its coach ."
"Today , President Barack Obama announced his intent to nominate Regina M . Benjamin as Surgeon General , Department of Health and Human Services .","The President announced his nominee for the U . S . Surgeon General , Dr . Regina Benjamin , today at the White House ."
"Two possible gang members were arrested in the fatal shooting of a sheriff 's deputy who was murdered as he was gettingready to go to work , officials announced Saturday .",Two male gang members whose names remain unreleased were arrested last night in the case of the murder of Los Angeles County Sheriff 's Deputy Juan Abel Escalante which took place outside his Cypress Park home this August 2nd as he prepared to leave for work .
"A key witness against teenage murder suspect Jermayne Timmons identified him Tuesday as the gunman who killed 10-year-old Kathina Thomas in May , then twice admitted he lied in his testimony .","Emotional testimony and at times lies are what jurors heard Tuesday in the trial of Jermayne Timmons , the teen accused of shooting and killing 10-year-old Kathina Thomas last May in Albany ."
"Staunton police on Friday arrested a 60-year-old , terminally ill woman in the 1967 killings of two young women at a local ice cream stand , ending an agonizing 41-year odyssey for the victims ' families .","Staunton Police this morning arrested Sharron Diane Crawford Smith , of Staunton , on first-degree murder charges in the 1967 slayings of two women at High 's Ice Cream Shop ."
"A powerful earthquake has hit southern Iran , killing at least 10 people , injuring dozens more and damaging several villages , officials say .","A 5 . 9 magnitude earthquake has leveled seven villages in Iran's southern area , killing 10 persons and wounding other 70 , Iranian officials were quoted by AP as saying ."
Prosecutors showed the tragic footage at the trial of the two youths charged with murdering Horton .,The disturbing evidence was made public at the trial of the two men accused of killing Zurana Horton from a Brownsville rooftop in 2011 .
Microsoft ( NSDQ : MSFT ) issued an out-of-band emergency patch Wednesday for a zero-day Internet Explorer vulnerability that has opened the door for hackers to install malware on susceptible computers without any user intervention .,Microsoft on Wednesday released an emergency patch to fix a perilous software flaw allowing hackers to hijack Internet Explorer browsers and take over computers .
Philadelphia 76ers management had enough of the NBA team lurking near the bottom of the Eastern Conference standings and fired head coach Maurice Cheeks on Saturday .,"Maurice Cheeks was fired Saturday as coach of the Philadelphia 76ers , who are slumping at 9-14 a year after making the playoffs ."
"Interior Secretary Dirk Kempthorne announced major changes Thursday to the Endangered Species Act , causing environmental groups to charge that the `` midnight rules `` set to go into effect before President-elect Barack Obama takes office are intended to eviscerate the nation 's premier wildlife-protection law .","Just six weeks before President-elect Barack Obama takes office , the Bush administration issued revised endangered species regulations Thursday to reduce the input of federal scientists and to block the law from being used to fight global warming"
"One day after Chris Ivory was surprisingly lost for the season , the Saints placed Thomas on injured reserve .",The New Orleans Saints placed Pierre Thomas on injured reserve Wednesday because of an ankle injury .
"Officials say at least 24 people were killed and more than 200 injured by the quake , which struck the western tip of Sumatra island on Tuesday .","A 6 . 1 - magnitude earthquake which hit the Indonesian province of Aceh on Tuesday killed at least one person , injured dozens and destroyed buildings , sparking panic in a region devastated by the quake - triggered tsunami of 2004 ."
Chris Weitz will take on the sequel to `` Twilight '' .,"The Golden Compass director Chris Weitz is expected to direct New Moon , the sequel to the hugely successful film Twilight ."
Voters in Turkmenistan cast ballots Sunday in a parliamentary election hailed by the government as an exercise in democracy but dismissed by critics as a sham .,Turkmenistan 's voters are going to the polls in parliamentary elections portrayed by the government as a step towards democracy in the gas-rich Central Asian nation .
"Dan Patrick reported on his show on AM 570 that the Boston Red Sox have made first baseman Mark Teixeira an eight - year , $200 million offer .","The Red Sox have made an eight - year offer to Teixeira in excess of $160 million , but sources close to the negotiations say it is less than the $184 million reported by Boston WCVB sportscaster Mike Lynch , who first reported that the meeting would take place ."
Authorities say a 35-year-old New Bedford man stabbed his ex-girlfriend and his own mother to death during a bloodbath inside his mom 's apartment and left the bodies to rot for days .,A man with a long history of domestic violence has been accused of stabbing his mother and a former girlfriend to death and leaving their bodies in an apartment for several days .
The Indian navy has captured 23 pirates who threatened a merchant vessel in the lawless waters of the Gulf of Aden .,"Taking the lead in the fight against piracy , the Indian Navy on Saturday arrested 23 Somali pirates ."
"Reaching back to television for a comedy star , the producers of the Academy Awards telecast announced Friday that Ellen DeGeneres would return next year to host the annual Oscar ceremony .","Television icon Ellen DeGeneres will return to host the Oscars® for a second time , producers Craig Zadan and Neil Meron announced today ."
An Oklahoma jury has found 27 year old Christopher Simpson guilty of first degree murder of his then pregnant 20 year old girlfriend Ka'loni Flynn and their 12 week unborn child .,A jury in eastern Oklahoma has convicted a 27 - year - old man of shooting dead his pregnant girlfriend and her unborn baby after she refused to get an abortion .
Obama White House reverses Bush rule on protection of endangered species,Biologists Call on Obama Administration to Overturn Bush Rules That Cut Science Out of Endangered Species Decisions
"One day after Chris Ivory was surprisingly lost for the season , the Saints placed Thomas on injured reserve .","Pierre Thomas was placed on injured reserve by the New Orleans Saints on Wednesday , meaning he won't play in the 2011 NFL playoffs ."
"President Barack Obama held a press conference , July 13 , 2009 to announce his nominee for U . S . Surgeon General , Regina Benjamin .","Today , President Barack Obama announced his intent to nominate Regina M . Benjamin as Surgeon General , Department of Health and Human Services ."
"Mark Felt , the mysterious `` Deep Throat '' source who helped Washington Post reporters Bob Woodward and Carl Bernstein crack the Watergate scandal that brought down President Richard Nixon , has died at age 95 .","The passing yesterday of W. Mark Felt , the man who was the infamous secret source for Washington Post reporters Bob Woodward and Carl Bernstein during their investigation of the Watergate scandal , marks the end of a life that brought about both the good and the bad of anonymous sources in political journalism ."
The former FBI second-in-command who revealed himself as `` Deep Throat '' 30 years after he tipped off reporters to the Watergate scandal that toppled a president has died .,"W. Mark Felt , who remained anonymous for more than three decades as the source known as `` Deep Throat '' in the 1972 Watergate scandal that toppled Richard Nixon 's presidency , has died ."
"The Indian Navy patrolling the Gulf of Aden on Thursday thwarted a multi - boat attack by sea brigands on merchant vessels , apprehending 26 Somali pirates and confiscating arms and ammunition , in the fifth successful anti - piracy operation since September .","Indian Naval ship , INS Sukanya , thwarted a piracy attack in the Gulf of Aden and captured three boats of the pirates ."
B.C. Attorney General Wally Oppal confirmed that Winston Blackmore and James Oler were arrested Wednesday .,"BC ATTORNEY GENERAL WALLY OPAL ISSUED A STATEMENT TODAY SAYING THAT TWO MEN , WINSTON BLACKMORE AND JAMES OLER , HAD BEEN ARRESTED `` ON CHARGES OF POLYGAMY PURSUANT TO THE CRIMINAL CODE . ''"
"T-Mobile USA , Inc. and Research In Motion today announced that T-Mobile will offer the BlackBerry Curve 8900 to customers in February .",T-Mobile has announced it will be carrying the BlackBerry Curve 8900 smartphone this February ... although it will not offer 3G data service .
"Quarterback Peyton Manning was nearly perfect as the Colts beat the host Jaguars , 31-24 , on Thursday night .",Peyton Manning helped inspire the Indianapolis Colts to their eighth straight win of the season as they overcame Jacksonville 31-24 on Thursday to reach the play-offs .
The biggest player who doesn ’ t have a deal in place is director Gary Ross and The Hollywood Reporter and Collider are reporting that he is in negotiations with Lionsgate to return .,"Now , THR is reporting that Ross and the studio are locked in tense negotiations over his return to direct the sequel , Catching Fire ."
I confirmed yesterday that Obama has offered the job and that Gupta had all but officially accepted .,CNN 's management confirmed yesterday that Dr Gupta had been approached by the Obama team .
"On Friday , the organization behind the Academy Awards named Australian actor Hugh Jackman as the host of February 's annual show .",The Academy of Motion Picture Arts and Sciences announced Friday that Hugh Jackman will be the host of the 81st annual Oscars on Feb. 22 at the Kodak Theatre .
"Mark Felt , who was known as Watergate scandal informant 'Deep Throat , ' died on Friday .","W. Mark Felt Sr. , the associate director of the FBI during the Watergate scandal who , better known as `` Deep Throat , '' became the most famous anonymous source in American history , died yesterday ."
"CNN medical reporter and Grady hospital neurosurgeon Dr. Sanjay Gupta has been approached by the Obama administration to fill the post of U.S. Surgeon General , CNN officials confirmed Tuesday .",CNN 's management confirmed yesterday that Dr Gupta had been approached by the Obama team .
"Indian Navy patrolling the Gulf of Aden yesterday thwarted a multi - boat attack by sea brigands on merchant vessels , apprehending 26 Somali pirates and confiscating arms and ammunition , in the fifth successful anti - piracy operation since September .",New Delhi / Mumbai : An Indian warship foiled a five - boat pirate attack on merchant vessels transiting the Gulf of Aden on Friday capturing 26 Somani brigands on three of the skiffs and confiscating their weapons .
"An earthquake measuring 5.6 on the Richter scale jolted Qeshm island off Iran 's southern coast on Sunday , followed by several aftershocks on Monday .","An earthquake with a magnitude of 5.6 on the Richter scale shook the southern Iranian island of Qeshm and caused damage to residential buildings in villages on Sunday , ISNA news agency reported ."
"A Texas jury convicted polygamist sect leader Warren Jeffs of child sexual assault Thursday in a case stemming from two young followers he took as brides in what his church calls ""spiritual marriages . ""","Warren Jeffs , leader of the polygamist FLDS religious sect , was sentenced to life in prison in Texas , convicted of sexually assaulting two girls , aged 15 and 12 , that he claimed as his 'brides . '"
"One day after Chris Ivory was surprisingly lost for the season , the Saints placed Thomas on injured reserve .","Pierre Thomas , the Saints' leading rusher in 2009 , was put on injured reserve , the team announced Wednesday ."
"Actress Lindsay Lohan finally checked into court - mandated rehab at the Betty Ford Center late Thursday , after hiring former lawyer Shawn Holley for help .","After she abruptly left a rehab facility in Newport Beach on Thursday , Lindsay Lohan has checked into the Betty Ford Center in Rancho Mirage ."
"A fire on Tuesday destroyed Palmer's historic Matanuska Maid Dairy warehouse building , which was built in the 1930s when colonists arrived from the Midwest to try their hand at farming in Alaska .","Alaska lost part of its history on Tuesday , when a pre - dawn blaze demolished the old Matanuska Maid Dairy warehouse building in Palmer ."
The Academy of Motion Picture Arts and Sciences announced Friday that Hugh Jackman will be the host of the 81st annual Oscars on Feb. 22 at the Kodak Theatre .,"Okay , so it 's a bit of a stretch there , but regardless , today it was announced that one of our own , Hugh Jackman , will be the host of the ceremony , televised live on Sunday , February 22 , 2009 , from the Kodak Theatre at Hollywood and Highland Center on ABC ."
"The New Orleans Saints placed Reggie Bush on injured reserve today , officially ending his third NFL season .","The New Orleans Saints placed running back Reggie Bush on Injured Reserve Wednesday , ending the former first-round picks season two games short of the year 's finale with a sprained medial collateral ligament in his left knee ."
"Wladimir Klitschko won his 16th straight fight today , successfully defending the WBA , WBO , and IBF heavyweight titles against Tony Thompson , stopping the 40 - year - old American in the sixth round of a fight that was never really close .","Wladimir Klitschko stopped Tony Thompson in the sixth round to retain his WBA , IBF and WBO heavyweight title belts Saturday night ."
"Wladimir Klitschko stopped Tony Thompson in the sixth round to retain his WBA , IBF and WBO heavyweight title belts on Saturday .","Wladimir Klitschko won his 16th straight fight today , successfully defending the WBA , WBO , and IBF heavyweight titles against Tony Thompson , stopping the 40 - year - old American in the sixth round of a fight that was never really close ."
"Wladimir Klitschko stopped Tony Thompson in the sixth round to retain his WBA , IBF and WBO heavyweight title belts Saturday night .","Wladimir Klitschko won his 16th straight fight today , successfully defending the WBA , WBO , and IBF heavyweight titles against Tony Thompson , stopping the 40 - year - old American in the sixth round of a fight that was never really close ."
T - Mobile continues to add to its growing line - up of 4G LTE devices by partnering with BlackBerry to bring customers the BlackBerry Q10 .,T - Mobile today announced that the BlackBerry Q10 will be added to its growing 4G LTE smartphone portfolio .
"Mark Felt , the mysterious `` Deep Throat '' source who helped Washington Post reporters Bob Woodward and Carl Bernstein crack the Watergate scandal that brought down President Richard Nixon , has died at age 95 .","W. Mark Felt , who remained anonymous for more than three decades as the source known as `` Deep Throat '' in the 1972 Watergate scandal that toppled Richard Nixon 's presidency , has died ."
"This frightening surveillance video was presented at the Brooklyn Supreme Court on Thursday during the trial of two men accused in killing Zurana Horton , 34 , a mother of 12 , in 2011 and wounding two others , including an 11 - year - old girl .",Prosecutors have released new video in the trial of two men accused of killing a Brownsville mother of 12 in Oct . 2011 .
"Wladimir Klitschko stopped Tony Thompson in the sixth round to keep a comfortable hold on his WBA , IBF and WBO heavyweight title belts on Saturday .","Wladimir Klitschko won his 16th straight fight today , successfully defending the WBA , WBO , and IBF heavyweight titles against Tony Thompson , stopping the 40 - year - old American in the sixth round of a fight that was never really close ."
"The New Orleans Saints have placed running back Pierre Thomas on the injured reserve list a day after their leading rusher , Chris Ivory , was shut down for the season .","Pierre Thomas , the Saints' leading rusher in 2009 , was put on injured reserve , the team announced Wednesday ."
The strong 6 . 1 - magnitude quake left hundreds more injured as it rocked a region that was devastated by the quake - triggered tsunami of 2004 .,"A 6 . 1 - magnitude earthquake which hit the Indonesian province of Aceh on Tuesday killed at least one person , injured dozens and destroyed buildings , sparking panic in a region devastated by the quake - triggered tsunami of 2004 ."
T-Mobile is bolstering its smartphone portfolio by picking up Research In Motion ( NSDQ : RIMM ) 's next-generation BlackBerry Curve .,"T-Mobile USA will launch Research In Motion 's BlackBerry Curve 8900 in February , further strengthening its smartphone lineup in 2009 ."
"A powerful 6 . 1 - magnitude earthquake strikes the northern Indonesian province of Aceh , killing at least three people and injuring dozens more across the affected region .",At least 50 reported injured and buildings destroyed after a 6 . 1 magnitude earthquake strikes Sumatra's Aceh province .
"Indian Naval ship , INS Sukanya , thwarted a piracy attack in the Gulf of Aden and captured three boats of the pirates .",An Indian warship on Thursday intercepted three boats with 26 Somali pirates in the Gulf of Aden and foiled an attack on merchant vessels .
"Rumored to be the front runner earlier in the week , Entertainment Weekly has now confirmed that Chris Weitz will direct the sequel to Twilight , New Moon , replacing Catherine Hardwicke .","The Golden Compass director Chris Weitz is expected to direct New Moon , the sequel to the hugely successful film Twilight ."
A Perth man has survived after spending up to two nights in an ice cave on New Zealand 's Mt Cook after seeing his brother fall to his death from the country 's highest peak .,"A climber who watched his brother fall to his death from a notorious ridge on Mt Cook , is lucky to be alive after two `` horrific '' nights high on the mountain ."
Gupta would n't comment to me -- while not denying the story -- but confirmed on his Twitter feed that he `` has been approached by the Obama administration about the U.S. surgeon general 's post . '',"CNN medical reporter and Grady hospital neurosurgeon Dr. Sanjay Gupta has been approached by the Obama administration to fill the post of U.S. Surgeon General , CNN officials confirmed Tuesday ."
"On July 13 , Obama announced that he was nominating Regina M . Benjamin , MD , a family physician from southern Alabama , to be surgeon general .",President Barack Obama has announced that he is nominating a rural Alabama Catholic doctor to be the U . S . Surgeon General .
The strong 6 . 1 - magnitude quake left hundreds more injured as it rocked a region that was devastated by the quake - triggered tsunami of 2004 .,"A 6 . 1 - magnitude earthquake which hit the Indonesian province of Aceh on Tuesday killed a child , injured dozens and destroyed buildings , sparking panic in a region devastated by the quake - triggered tsunami of 2004 ."
